text,span1,label
This is particularly important in a field where many of the demands made by users are highly specialized in nature .,"[17, 18]",0
Long helped though by placing both Steel-Maitland and Boraston on the Executive Committee of the Union Defence League for the same purpose .,"[4, 5]",1
"In the early 1980s , at a time when manufacturing industry was collapsing and the outlook for the unskilled looked particularly bleak , frustration boiled over in a series of riots in London , Bristol , Birmingham , Liverpool , and elsewhere .","[19, 20]",1
"Half an hour after the inspector left , as if to prove his point , the lavatory refused to flush .","[17, 18]",1
"Thomson was born in Kansas City in 1896 , studied at Harvard , and then mostly lived in Paris until 1940 .","[2, 3]",0
"The children using all of these services came from a wide range of ethnic backgrounds , though rarely was this actively and positively reflected in the type of care provided or the ethnic background of their carers .","[7, 8]",0
"You know , like you said this and you have n't done it , you said that and you have n't done it and all that sort of .","[15, 16]",0
"The Sugar House only opens er Thursday , Friday , Saturday .","[4, 5]",0
"It 's alright , I 'll see it later on , it 's on again","[6, 7]",0
"‘ We got ta take our music more serious , ’ he tells the Crickets , who remain unconvinced .","[17, 18]",0
"She 's got the , she wo n't .","[2, 3]",0
But what produces the overall direction of History ?,"[2, 3]",1
The few models which have been developed to date may have been correct as far as they go but are clearly incomplete .,"[6, 7]",0
We shall rather return to a very simple geometrical configuration for deriving Ohm 's law .,"[11, 12]",1
I said last week,"[1, 2]",0
"When , at last , he stripped off his clothes and came into her , it was as if this was the moment to which all her life had been leading .","[11, 12]",0
I 'm looking for a couple of good models .,"[2, 3]",1
I think you d' ya know I think you were at night school Gordon when I think about it .,"[5, 6]",0
"Er , two additions left .","[4, 5]",1
"In 1986 , according to Friends of the Earth , a survey of the homes clustered on the surrounding hills found that three-quarters of 800 residents were opposed to the Rechem plant .","[20, 21]",1
"As George Graham indicated upon his side 's accession to the title , they would need more composure and sophistication to match Liverpool in the longer term .","[21, 22]",0
We 've got a similar one on ours .,"[2, 3]",0
Do n't you get headaches from,"[3, 4]",1
"In 1949 , Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters , ‘ so that we may raise needed funds for our physics lab ’ .","[10, 11]",1
"Yeah , we think it 's","[3, 4]",0
"Yet I did not want to leave things alone entirely , without making an effort , but it is restricted to the expression of two things — the cypresses — the olive trees — let others who are better and more powerful than I reveal their symbolic language …","[4, 5]",0
"Science , with its masculine image , makes little emotional demand on an individual and seems to offer clear , precise answers to problems .","[15, 16]",0
"Since we are not yet able to predict all the interactions which may be important in a study of environmental problems , collecting potentially useful data as well as those believed central to the problem under study is often wise ;","[7, 8]",0
"Traditionally , country cottages and houses which have unusual or unique features or are in need of a lot of renovation may be auctioned , if only because valuation is likely to be difficult .","[23, 24]",0
She never got her use back and she never spoke again .,"[9, 10]",0
"Keller 's Zurich upbringing made him into a skiier and sculler , and he raced for the Grasshopper club .","[14, 15]",0
"For a song , too , because he had not been able to bear the thought of going back , meeting a valuer , walking about the house , picking things off shelves and out of cupboards .","[24, 25]",0
‘ Lots of guys find it a turn-on to watch two women making love . ’,"[12, 13]",1
"Dressing up , role playing and masquerade form the conceptual basis of Kahlo 's work .","[6, 7]",0
"Third , a labour division of the High Court would contribute to the process of constitutional reform in Britain which surely is to be a key political issue in the 1990s .","[10, 11]",0
Just want to I just want a that will do me,"[1, 2]",0
A proportion of both boys and girls at ego-identity achievement stage will choose science .,"[12, 13]",1
"Some of these girls might , however , drift away again when they reach their crisis period .","[13, 14]",1
"He 's got the gall to phone up on Tuesday and say Eileen ca n't do a day , we 're going to be short of Eileen .","[21, 22]",0
To school it 's,"[1, 2]",0
Some say they should bring back hanging ; others say it is the politicians they should hang ; but most say there is nothing anybody can do at all .,"[1, 2]",0
"If the owner is abroad , the agent will also collect tax at the standard rate of 25 per cent , which will be deducted from your monthly rent cheque .","[10, 11]",1
For children 's needs to be considered with parents and their wishes acknowledged and recognised .,"[6, 7]",1
"There was then an open toughness about party tactics ; before the Buckingham Palace Conference in 1914 he had Central Office work out the electoral effects of excluding nine , six or four counties of Ulster from an independent Ireland the concern of a calculating pragmatist not of a bigot .","[21, 22]",1
Labour 's Quality Commission would replace the Audit Commission .,"[5, 6]",1
when we 're open so I 'll get a delivery on Thursday and I 'll get some er,"[15, 16]",0
"The rest of lunch passed in similar diversion , interspersed with details of last week 's turnover which were never far from Barton 's mind , whatever other distractions offered .","[29, 30]",1
"Try to quench your thirst with a light , fresh white and you will drink enough to put you on your back .","[2, 3]",1
"Right , thank you very much John","[2, 3]",0
"Simple , distinct veining can also be seen .","[7, 8]",0
"I said , you got ta be joking !","[4, 5]",0
‘ Ca n't hear you .,"[3, 4]",0
"to make and enter into , on a basis of mutual consent , quasifamilial relationships outside one 's immediate family — i.e. the right to seek and choose guardians other than one 's own parents and to be legally dependent on them .","[1, 2]",1
"Over Madame Mattli 's shoulder Paula could see Arlene watching her , a tiny smile lifting one corner of her scarlet mouth , and Paula knew her well enough by now to know exactly what she was thinking .","[9, 10]",0
I cook for Stuart and I do n't eat it .,"[8, 9]",0
You ought to Rainbows or something got the car at least then,"[6, 7]",0
"Under strain for a start because it was technically ill-equipped to avert disaster or to cope with the consequences when disaster struck ; under strain from commercial pressures which , as the inquiry puts it , ‘ compromised ’ safety ; under strain above all because the people on the spot could n't or would n't cope , were weary from gruesome working hours ( the senior signal technician who heads the list of the culpable had had only one day off in the past 13 weeks ) , lacked adequate training , or simply could n't be bothered .","[62, 63]",0
"The final interview entails a personalized review of the course , as well as the formulation of a follow-up plan to be undertaken with the offender 's supervising officer .","[3, 4]",1
Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course .,"[8, 9]",1
And I suppose I better get er Carl 's birthday card while I 'm at it .,"[2, 3]",0
"Let me pay and then we 'll have lunch together and do some catching up — unless you 're meeting someone , of course . ’","[0, 1]",0
"Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .","[5, 6]",0
‘ You 'd think someone rich enough to own a rig like this could afford a pair of fenders . ’,"[14, 15]",0
"Joe and I mean I come a long way and they said he told them I wan na pop in Friday morning before we go He was surprised He said well I were n't surprised , I said but er you know I want a name yeah well , he just said well I ca n't he ca n't fault me on anything .","[29, 30]",0
The 1990s have witnessed a shift in the art establishment 's attitudes towards art produced outside of its traditional parameters .,"[3, 4]",1
"Sharing a small spartan room with two other girls — Northerners whose accent Paula found almost incomprehensible and with whom she had nothing in common , making breakfast in the communal kitchen , queuing for the bath , adhering to a strict curfew after which time the doors were locked and bolted — none of these were restrictions Paula had the slightest intention of enduring for long .","[49, 50]",0
She stipulated that it must never have been involved in an accident .,"[8, 9]",0
"The Government will also encourage more family doctors to hold budgets to ‘ buy ’ services for patients , and is looking at ways to enable smaller practices to team up to secure the advantages of fund holding .","[4, 5]",1
"And now he was passing a second and more dilapidated pillbox and it struck him that the whole headland had the desolate look of an old battlefield , the corpses long since carted away but the air vibrating still with the gunfire of long-lost battles , while the power station loomed over it like a grandiose modern monument to the unknown dead .","[32, 33]",0
"If it is fairly small it may be necessary to describe how to unpack it , fix it into position , connect it to power supplies and start it up .","[16, 17]",0
Chamberlain provided the way out by suggesting to Balcarres that both he and Long should withdraw and so allow Law to be elected unanimously ; he also turned down Balcarres 's remarkable advice that he should allow Long to be elected since Long would make such a mess of things that Chamberlain would be bound to succeed within the year .,"[40, 41]",0
"Improved morale would also make possible organizational advances outside parliament , all linked to the issue of Ulster , and with the sights fixed firmly on the next election , an election that would make or break the Union , the Empire and Law 's leadership of the party .","[34, 35]",1
"Suffice to say , whether Boogie , Bop or simply Blues , this set of Brothers , whatever they once were before they fell out and dispatched solicitors to sue their siblings , will be wearing dark glasses , pork pie hats , black side-burns and will be playing Stax/Atlantic type material .","[23, 24]",0
"‘ Why ? ’ asked Sorge , concerned .","[4, 5]",0
"Well erm , they , they do n't know whether they can do it or not do they ?","[8, 9]",0
Hurricane damage through high winds and tidal surges causes an immense amount of destruction and poses a major threat to many coastal communities in the USA .,"[15, 16]",0
"Admittedly , the Model Penal Code does contain a list of circumstances which may amount to extreme indifference , which assists the courts and increases the predictability of verdicts in a way that Scots law does not , but the essence of both approaches is that there is no precise way of describing those non-intentional killings which are as heinous as intentional killings .","[20, 21]",1
"Since it can not be known as a concept that will realize itself in the future , Sartre argues instead that the totality only produces itself in the moment : ‘ The incarnation as such is at once unrealizable except as totalization of everything and irreducible to a pure abstract unity of that which it totalizes ’ ( II , 58 ) .","[55, 56]",0
"This , Paula soon discovered , was the way of the fashion world — a constant frantic rush against the clock , to have collections ready on time or to complete individual couture garments for customers who always considered their order more urgent , more important , than that of anyone else .","[38, 39]",0
He did n't let the side down . ’,"[3, 4]",1
The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent : they look like some of the hundreds of visitors who come to St Botolph 's Crypt Centre for homeless people every day .,"[5, 6]",1
"Sarah Morgan was sounding diffident but resolute , and as Morgan opened his mouth to protest in exasperation the doorbell rang .","[3, 4]",0
His concern was solely with effectiveness rather than style ; he rarely spoke with more than brief notes and left it to the occasion to furnish the words .,"[12, 13]",0
"About 230 people attended the conference , held in April 1985 .","[7, 8]",1
He 's found it !,"[2, 3]",0
eighteen months on the model circuit had eliminated all trace of her former Somerset accent .,"[7, 8]",1
"She let go of the cabinet , coughing in the dust of ages that appeared to be lurking behind it , and smiled back at him as the February sun shone through the small window behind her , throwing into sharp relief the patches on the wall where her predecessor had hung posters , and the ingrained dirt on the flaking paintwork round the mean , narrow , metal window .","[38, 39]",1
"Once known primarily as the wife of Diego Rivera , her reputation outside of Mexico now far supercedes his : since 1919 , sale room estimates of her work have risen from $40,000 to over $1 million , and in 1990 a work by Kahlo broke all records at Sotheby 's New York for a Latin American artist .","[45, 46]",1
"A niece of mine living in tells me that it 's picking up slightly , the property market .","[6, 7]",0
The literature of the last few years is thronged with papers proposing that these must be taken into account — but with few realistic proposals on how this is to be achieved .,"[16, 17]",0
"He needs to be for the next four days in Hong Kong , because he will be hard at work cutting ribbons and laying foundation stones .","[1, 2]",0
"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West , including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany .","[32, 33]",1
"Gary was in the workroom when Paula arrived , pinning a length of vibrant pink chiffon sarong-style around one of his models .","[7, 8]",0
too expensive I think .,"[3, 4]",0
"Even when the hits start , he 's not content .","[4, 5]",0
For the moment let us use the above expression for deriving Biot-Savart 's law .,"[10, 11]",1
Look at this just one rose .,"[0, 1]",0
"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear ; he is also known to irreverent members of Mayfair 's Jesuit Farm Street Church by his initials , George Basil Hume .","[15, 16]",1
very energetic and I should be alright now after been to sleep should do I 'm alright I ca n't think of anything I wan na get I want up town anyway nothing think of anything,"[28, 29]",0
"Whatever the justifications for introducing this policy , it serves to underline the fact that sentencing in murder cases is enacted without each case being considered individually , after hearing representations from the offender 's counsel , and without a sentence announced in court and subject to appeal .","[29, 30]",0
Somebody 's got to pay for it .,"[2, 3]",0
"The objectives of CORINE were to be achieved through bringing together existing data holdings in the member states , developing methods for holding , analysing and presenting the data , and encouraging the exchange of data .","[31, 32]",0
"In the fifth group session entitled ‘ Focus on the Individual ’ , the counselling and the monitoring combine with the directing and assisting methods .","[23, 24]",0
"While these organizations intrinsically have a world-wide membership and are concerned with research into global environmental change , others share the same interest but from a more restricted geographical base .","[19, 20]",0
"For 1987 the statistics show that there were some 20,000 accidental deaths , of which some 7,000 occurred in the home , 6,000 at work , and 5,000 on the roads .","[17, 18]",0
"Not yet no , just get your out there and and then you might have a bit of lee-way might not we then ?","[5, 6]",0
We work long hours and,"[1, 2]",0
The old drover 's road turned aside here and climbed under the rock faces of White Crags to continue its lonely course over Girdle Fell and down into Redesdale .,"[13, 14]",1
You know he 's entitled to his holidays but I do n't want to sit,"[14, 15]",0
The disasters that befell his army paradoxically heightened his personal charisma : even the barons of Outremer continued to look on him as their one potential saviour .,"[17, 18]",0
"‘ And the answer is , I do n't know .","[9, 10]",0
"Driving away , I noticed that the vast chimney was still not functioning , but when I called at a neighbouring house a woman showed me videos she had taken of smoke coming from the plant , settling in her garden .","[0, 1]",0
This fish is preserved in a fine-grained limestone which preserved most of the skeletal details of the fish ( but not its colours ) .,"[9, 10]",1
"‘ Keep your voice down , ’ Adam growled .","[8, 9]",1
This session allows for an in depth examination of the drinking diaries over the last five weeks — identifying the risky circumstances or situations … .,"[2, 3]",1
The British people have in the past found them rather more powerful than the corporations which are popularly supposed to finance the Conservative party .,"[7, 8]",1
"Extroverts take longer to learn the rules of society , they are more likely to break them , and thus more likely become convicted criminals .","[22, 23]",0
Apart from anything else I owe you a coffee . ’,"[5, 6]",1
But it should make us very suspicious .,"[3, 4]",1
them will come later when he got there and then you can have something else nice .,"[6, 7]",0
This furthered his long-term ambition to rule a large ‘ south Slav ’ kingdom when the Ottoman Empire finally collapsed .,"[19, 20]",1
"Campbell 's hard-working side are still trying to sort out their system , which involves a spare defender and , as far as one can see , a good deal of improvisation .","[25, 26]",1
"Sartre 's reaction to the threat that the negation of a negation may produce a detotalizing effect is to introduce a new category , a unifying force of a ‘ singularization ’ which incarnates the universal : ‘ If totalization really is an ongoing process ’ , he writes , ‘ then it operates everywhere .","[13, 14]",1
"They prepared chicken pies , the pastry as light as Ruth 's heart , turtle soup , a haunch of venison , jellies , blancmanges , syllabubs , trifles , and a host of other dishes , with still more to be done on the day of the party itself .","[1, 2]",0
George Graham was not amused .,"[4, 5]",0
"And Vera phoned this morning , Joe phoned this morning all I did n't want them to go out , anyway I 've made arrangements to go round to see Vera on Friday afternoon and they they went out to where was it ?","[23, 24]",1
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .","[15, 16]",1
"Well then you 'd laugh I should think , knowing you !","[9, 10]",0
"We have no choice in the matter , ’ said the Englishman .","[9, 10]",0
"Now Holt and Harris both have many wise , enlightened and humane observations to make about some of the injustices which we inflict upon children , but as these remarks show , putting them right without inflicting equally grave injustice is no easy matter .","[32, 33]",1
"It is always laborious to find the components of a vector , so we are not much better off with A than with H or B. It turns out however that A is a more basic quantity of physics than B. Since B is given by the curl of A it is possible that A is finite while its curl is zero .","[5, 6]",1
"Since popular ideas of life in the past are often founded on vividly coloured reconstructions of ‘ The World in the Jurassic Period ’ and the like , it is important to remember that these imaginative scenes are all inferences from bones , and similar fragments .","[10, 11]",1
