text,span1,label
"There is still a great deal of Greece all through the Tartarin and Daumier part of this queer country , where the good folks have the accent you know ; there is a Venus of Arles just as there is a Venus of Lesbos and one still feels the youth of it , in spite of all …","[5, 6]",1
Erm bungalow in St Peters Road .,"[5, 6]",0
"It would be able to ‘ require each government department to review its policies , practices , and existing and proposed legislation ’ .","[6, 7]",1
"Torchlights , flaring against the night sky and reflected in the water , had been set up wherever it was suitable .","[11, 12]",0
"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .","[24, 25]",1
"Moreover , the borderlines between the various degrees would raise questions of law , which would provide much opportunity for legal argument and for appeals .","[24, 25]",0
"The UK ESRC supported the work of the South East Regional Research Laboratory in Birkbeck College , University of London , from which this review has grown .","[24, 25]",0
"they all sit there looking at her and saying bloody hell she ai n't got her own hat on , we 've been here quarter of an hour and she walks in the door , takes her coat off and says come on ladies you 're suppose to be off your hind by two o'clock , leaving here at two","[9, 10]",1
Girl Friendly Science and the Girl Friendly School,"[7, 8]",0
The Intifada is the midwife of freedom .,"[6, 7]",1
"Yet for them crusading necessitated no large leap of the imagination , no millenarian vision ; it was simply a challenging and a deserving extension of their everyday activities .","[6, 7]",1
"The tiny single room was jammed with the mossy timbers of disused sheep pens , but the little iron fire grate that once warmed the hardy men who worked here was still set in the foot of the hut 's tottering gable end , and the massive stone lintel had not yet fallen from its place above the doorway .","[26, 27]",0
"The tone of the debate was set by Home Secretary William Whitelaw 's introductory statement in which he spoke of ( a ) the need to ‘ remove the scourge of criminal violence from our streets ’ , and ( b ) the urgency of developing ‘ policies designed to promote the mutual tolerance and understanding upon which the whole future of a free democratic society depends ’ ( Hansard , vol. 8 , 16 July 1981 : col. 1405 ) .","[10, 11]",0
"The Imperial Cancer Research Fund and the Cancer Research Campaign are conducting a joint study of the Bristol Cancer Help Centre , which offers a holistic programme — dietary advice and emotional counselling — to complement medical treatment .","[14, 15]",0
"The council argued that a landlord , particularly one such as a local authority , can not realistically be expected to have a system of inspection of all its premises and in practice is entitled to depend upon notification by its tenants .","[2, 3]",1
"Thus , to understand some local and many regional , national and continental and all global environmental events , we need to have a global perspective and hold global databases ( Rhind and Mounsey 1989 ; Mounsey and Tomlinson 1988 ) .","[36, 37]",0
"The material on which the information is printed , the typeface used , the sequence , the structure and the format generally should reflect the conditions of use , ( Easterby and Zwaga , 1984 ) .","[1, 2]",0
"On one level this work deals with a generalised ‘ woman 's experience ’ , yet the metaphorical power of Dorothy Hale 's dress derives from Kahlo 's use of clothing in her own self-portraits .","[24, 25]",1
Sit in the pushchair .,"[0, 1]",0
"The ‘ need to know ’ criterion is crucial because unless it is applied , the operator can be overburdened with unnecessary material .","[13, 14]",1
"In relation to the sentence stem ‘ A girl and her mother … ’ , girls often produce responses like ‘ often go through a bad patch for a year but once they learn to understand each other , become the best of friends ’ or ‘ can help each other with their problems ’ .","[25, 26]",0
"Mr Cook argued that 10 years of Thatcherism had been forced on most people , who had never voted Conservative , and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic power ‘ to ram socialism down the throats of a majority who did n't vote for it ’ .","[33, 34]",0
"Shepherd , more than any other contributor to this section , draws attention to the extent to which current efforts in the geographic information management field are constrained by the highly fragmented nature of both data suppliers and users both in sectoral and spatial terms , the great diversity of data sets in varying formats and the difficulties presented by institutional factors such as copyright provision , data ownership and the control of access to data .","[61, 62]",0
The colleague looked at Frederica with an apparently absent-minded scanning attention .,"[8, 9]",0
"How far back does this go , I suppose early fifties ?","[1, 2]",1
"One such scheme involved the purchase of the Daily Express by Max Aitken with party funds , but the party was also propping up the Globe , the Standard , and a wide range of provincial dailies .","[28, 29]",0
"The structure of the developing national authority has been both diffuse enough to prevent it from being destroyed by any one single sweep of arrests ( there have been more than 50,000 arrests since the Intifada 's outbreak ) , and coherent enough to allow for the existence of a unified resistance strategy .","[22, 23]",1
‘ But let's not forget we 've still got a crisis on .,"[10, 11]",1
"She offers her hand in the Masai manner , her head bowed .","[11, 12]",0
"As has been demonstrated elsewhere with regard to the generic probation setting ( Singer , 1989 ) , the supervision of offenders involves two overarching aims : namely support and surveillance .","[30, 31]",0
"No doubt Smith , the Oxford University Australian , who won five caps for the Wallabies , will feel a bit closer to home facing the All Blacks twice in the next 11 days .","[21, 22]",1
"Despite widespread predictions of further unrest in the aftermath of 1981 , the scale and the location of the 1985 riots seem to have surprised even some of the most astute commentators .","[13, 14]",1
"After my uncle 's death in April 1976 he visited Wyvis Hall on perhaps two , or at the most three , separate occasions simply for the purpose of looking it over and reaching a decision about the disposal of furniture and effects .","[22, 23]",1
Can Kimmy be one of our bridesmaids ?,"[1, 2]",0
Rufus shook hands .,"[2, 3]",0
"There is , therefore , before any understanding of historic agents and movements , a certain aporia in all social ensembles : from afar they may appear whole , but close to , they can be seen as riddled with holes .","[40, 41]",1
"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled ‘ Do Not Spit ’ signs screwed to their bulkheads .","[2, 3]",1
"His scepticism goes to the extent of even denying the existence of ‘ society ’ or ‘ the nation ’ as such ( II , 24 , 61 ) — the very totalities which his own general argument for totalization requires .","[5, 6]",1
"We should first consider the availability and quality of data concerning the populations who may be at risk from the storage and transport of hazardous substances , from toxic air pollution , from flooding and so on .","[7, 8]",0
This is clearly an important issue in radiation monitoring as the discussion of RIMNET above implies .,"[15, 16]",1
You let me go rabitting on … .,"[3, 4]",1
By the time we had drunk our third bottle of wine Ellen and I had long reached New Zealand and were already sailing north towards New Caledonia .,"[7, 8]",0
"‘ Sit down here , Jamie , and I 'll make some tea .","[5, 6]",0
"west , er no , regional councils Labour council , the urban councils or something like that .","[12, 13]",0
"The paradigm is based on the joint supervisory aims of support and surveillance which are implemented through the methods of counselling , assisting , directing , and monitoring .","[8, 9]",1
"He stopped on the embankment , shaking with cold and shock , to note the spot , then fled along the tractor paths , the dog running with him , to the stables where the ten o'clock children 's ride was in its closing stages .","[43, 44]",1
"She pledged that the Government would safeguard those that did not opt for trust status , but she expected this to be a minority .","[11, 12]",1
FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas .,"[14, 15]",1
None of them had been the kind of people who could have imagined devotion to a pet animal or according to it funerary rites .,"[16, 17]",0
"By refusing to keep open two-way radio links , the crews had effectively ended a proper emergency service .","[7, 8]",1
In societal risk assessment ‘ it is also necessary to input data on the distribution of population around the installation .,"[16, 17]",0
She took ill at Aunty Edith 's .,"[1, 2]",1
"In the UK only a handful of county emergency planning departments ( Cumbria , for instance ) have built up resource databases in digital form and this needs to be promoted .","[21, 22]",0
"‘ By holding open meetings for children and having the telecottage above the local store , people of all walks of life came in - small-scale entrepreneurs and their spouses , shop assistants , craftspeople and children .","[3, 4]",1
"CRYSTALATE , the electronics product group , experienced a ‘ serious disappointment ’ in the second half and hence profits fell from £5.6million to £2.9million in the year to September .","[5, 6]",1
It 's a fact that American men seem to put business before everything .,"[5, 6]",0
There was a low table and three or four dainty chairs with aubergine velvet seats and gilded spindle legs .,"[3, 4]",0
Dress not only covers and decorates the body but instils in the wearer its own characteristic strengths and weaknesses .,"[18, 19]",1
"In Strasburg , they have been known to lace beer with Picon , thereby ruining both drinks ( as Queen Victoria reputedly did with claret and malt whisky ) , but still the result is not especially quenching .","[37, 38]",1
"A question from our survey asked children whether they would like to know more about how a vacuum cleaner works ; hardly anyone did , and girls were even less curious than boys .","[5, 6]",1
For priority status for children with special needs in order to facilitate access to ordinary provision .,"[4, 5]",0
Of course it can never be known whether the right answer has been reached ( unless somebody dredges up a ‘ living fossil ’ from the depths of the ocean ) — there are only varying degrees of probability .,"[21, 22]",0
"Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations .","[3, 4]",0
"The imagery of the ‘ black bomber , used in Handsworth was extended to the notion that there were groups of alienated and criminalized young blacks who saw the riots as a chance to engage in an ‘ orgy of looting ’ .","[8, 9]",0
"The passages it cancelled had , in any case , as in certain programmes , not been lost but stored on some limbo disc from whence they must now be retrieved .","[17, 18]",1
"So there was , Grizel Huntley acknowledged , and it would be a great deal better if Penny could manage to think a bit more positively .","[14, 15]",0
"They have also aroused Protestant anger against Dr Runcie , at the same time as he has become involved in a row over his attack on the ‘ Pharisees ’ of British society .","[2, 3]",0
"When we 've got an economic mess , the first duty of a government is to clear up the economic mess .","[3, 4]",1
"And now I sha n't need you again this evening , so apart from looking in on Anna from time to time , you may do just as you please . ’","[21, 22]",0
"If I give you a bit of paper and the lot , yeah well you know what to do and go to school and fill them in !","[13, 14]",0
"Accordingly , he attempted to shift Marxism away from orthodox theories of an absolute determinism towards the primacy of a concept of ‘ History ’ which , while still a totality as it had been for Lukács , a process with a determinate meaning and end , could also include a concept of human agency and thus articulate the individual with the social , freedom with determinism .","[7, 8]",1
Mark slipped an arm around her slim waist as they walked from the hall into the kitchen .,"[10, 11]",0
"Yet it was Mr Clarke , not Mr Nichol , who was involved in the critical decisions — the cash limit for the NHS , the 6.5 per cent offer to ambulance workers ( compared to seven per cent for nurses , eight per cent for doctors and nine per cent for ancillary workers ) ; and today 's introduction of military ambulances .","[53, 54]",0
It also noted that ownership of and access to environmental data was a policy matter of the greatest importance ; this may be more difficult in ‘ within country ’ data than with global data since the latter are often already the subject of international exchange agreements at zero cost .,"[9, 10]",0
"Mind you in the evening , if it gets quite chilly in the evenings so it might be a good jumper to wear in the evenings when we go for our evening walks by the sea .","[20, 21]",0
"At the top they came out into uncompromising , bright grey light , the bleak , hedgeless lane , the flat meadows where here and there stunted trees squatted like old men in cloaks .","[30, 31]",1
A new canvass system was introduced in 1911 so that all county constituencies would operate the same system and so that duplicate records could be kept at area level .,"[3, 4]",1
The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi-skilled jobs .,"[28, 29]",1
I say what have you got on your,"[5, 6]",0
"The ‘ silence over race ’ was breached in 1980–1 , but in 1985 debate about racial issues was taken a step further .","[19, 20]",1
"But they might have to be supplemented by mercenaries from Flanders and the Low Countries , where the rapidly expanding population forced large numbers of young men into military careers .","[20, 21]",0
The evidence for an association between personality characteristics and an interest in science has been more fully reviewed by Head ( 1979 ) .,"[10, 11]",1
Common opinions were what got Major into difficulties in the first place .,"[10, 11]",0
Francesca Simon describes some of the pitfalls — and how to avoid them,"[11, 12]",1
In the catalogue John House quoted Monet 's description of the painted light around the snowy haystacks as an enveloping veil .,"[20, 21]",1
The positive sense of the integration path is defined relative to the positive current direction according to the usual right-hand convention .,"[20, 21]",1
"Mr Freeman said an appeal was ‘ most unlikely , because we are not going to get any more evidence . ’","[19, 20]",0
"Mrs Carson gave her maid a sharp , compassionate look .","[2, 3]",1
"According to unofficial reports , the arrangement was designed by the West German Foreign Minister , Hans Dietrich Genscher , the new Polish foreign minister , Krzystof Skubiszewski , and the Soviet Foreign Minister , Eduard Shevardnadze , who met recently at the United Nations in New York .","[23, 24]",0
"Every time they collect our cows , they promise to give us something in return , but the next time ask for more cows .","[3, 4]",0
"The Central Office attitude was flexible , for outside bodies would always exist and could even be made use of :","[9, 10]",1
"This bloody footballer , I mean it 's a","[1, 2]",1
Since the latter are available for a 5 km raster the registration data are assigned to these grid squares using the OS grid reference .,"[21, 22]",0
"The spiral in drug abuse and trafficking , with direct consequences for the AIDS epidemic , has created a new kind of alarm .","[1, 2]",1
"Ooh , it 's sounds nice !","[0, 1]",0
"Reproductive structures should really be found to distinguish it from other , superficially fern-like plants .","[13, 14]",0
"They were challenging the ‘ pay now sue later ’ principle at Lloyd 's , which says names should pay cash calls first and fight them later .","[26, 27]",0
"Joe and I mean I come a long way and they said he told them I wan na pop in Friday morning before we go He was surprised He said well I were n't surprised , I said but er you know I want a name yeah well , he just said well I ca n't he ca n't fault me on anything .","[5, 6]",1
"If there are small children in the equation , there will need to be a flat , soft area where they can fall off swings and climbing frames .","[7, 8]",1
"She wo n't of watched it , cos it 's bound to be on a Wednesday night !","[16, 17]",0
"I 'm on your side , Adam .","[4, 5]",1
"So that I can go through my designs and make quite certain that there is not one collar , not one cuff detail , not the slightest influence that they could accuse me of copying from them .","[31, 32]",0
"Gently as though he might disturb it , he pulled back .","[0, 1]",1
"The age structure of Meadowell means it is awash with teenagers , whose only pastimes are having babies and body-building .","[5, 6]",1
"‘ The crux of our argument is that we do n't need to have toxic wastes and the fact that plants like Rechem exist , providing easy options for companies , is acting as a disincentive for companies to clean up . ’","[26, 27]",0
A standard fault is to assume that the reader is familiar with the jargon which the designer habitually uses .,"[2, 3]",0
"The net effect was that , given dedication , princes — Louis VI , Geoffrey le Bel , Alphonse-Jourdain — could subdue rebellious castellans within their own demesnes , and could build castles of their own which were impregnable to all but lengthy and sustained attack .","[6, 7]",0
"Outside Flanders , Robert 's sister 's marriage to Roger of Sicily was a mark of his new position in the world ; like Louis VI 's sister 's marriage to Bohemond of Antioch , it stretched French kinship connections into the new Norman colonies , ensuring that travellers from the homeland would find a welcome in those distant parts .","[53, 54]",1
The techniques just described are no more than guidelines in what remains the creative art of studying and describing what an experienced worker is doing or will be required to do .,"[1, 2]",0
All this formed a background to the first century of crusading ; and it goes some way to explaining the more secular aspects of the magnetism which drew French knights to take up the cross in their thousands .,"[27, 28]",1
That 's alright .,"[2, 3]",0
"Party organisers want the conference to show that the party is united as never before , leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits .","[28, 29]",1
The female soil possessed and misused by the masculine force of the Spanish invaders .,"[3, 4]",1
"Sophie was supposed to be doing the chorus so I grabbed Mary , and said come with me on the half way through , called Sophie why are you doing all the talking Dot and not Mary !","[21, 22]",1
"Not really , because ( 1 ) as current flows there is some potential drop in the electrode itself , ( 2 ) zero conductivity for part of the space can not be electrostatically modelled since there are no dielectrics with Er = 0 , and ( 3 ) when current flows through two materials of different conductivity there is generally a surface charge at the boundary ( see Example 3.4 ) .","[26, 27]",1
In the present section we shall consider a cylindrical electron beam of radius a in which the charge density is uniform ( p = Po ) and all electrons travel with velocity v.,"[9, 10]",0
Why do n't put it underneath .,"[3, 4]",0
"No one can predict whether a serious injury will result in death — that may depend on the victim 's physique , on the speed of an ambulance , on the distance from the hospital , and on a range of other medical and individual matters .","[6, 7]",0
"It seemed that Ellen and I were not the only ones to take such a precaution , for late that night Jackson Chatterton lumbered on deck with a bottle in one huge hand .","[1, 2]",0
